Order ID,Customer ID,Original Customer ID,Gender,Age,Age Group,Laptop Model,Brand,Price ($),Discount ($),Month,Year,Final Price ($),Rating,State,Order Count,Link
1,83c03410-1e67-48c2-bde3-227c0fe60958,e4ccb009-f90c-443f-bfaf-b43e90a55ac2,Male,28,26-35,Microsoft Surface Laptop month,Microsoft,550.02,118.76,4,2020,431.26,3.7,Connecticut,1,www.newegg.com
2,bd088420-1f97-45e6-989f-f4e4e0c8476b,4e97997f-34af-47da-9146-8f4dd3576716,Male,28,26-35,Microsoft Surface Laptop mind,Microsoft,1680.99,57.95,2,2022,1623.04,3.8,North Carolina,1,www.newegg.com
3,747c916b-bbf2-4dc5-9faa-59fa11babe0b,a88a9f25-9f60-40fa-9ec9-037c5941caca,Male,28,26-35,MacBook Air miss,MacBook,1622.49,229.0,12,2022,1393.49,4.3,Iowa,1,www.newegg.com
4,5ef09850-671c-4e7d-b198-2f74c14abc15,28415632-6953-4e4f-b233-7e98e2f35150,Male,28,26-35,ASUS ROG there,ASUS,1056.38,267.33,3,2021,789.05,4.5,Michigan,1,www.newegg.com
5,94b495cc-c912-49e5-b052-72b58bf712ca,1cd600f2-3f45-4133-95c1-d450cb602843,Male,28,26-35,Lenovo IdeaPad open,Lenovo,930.63,240.87,2,2019,689.76,3.6,Connecticut,1,www.newegg.com
6,39e35e37-3e25-4d84-88fe-f31bb7cd93f1,c9b8da20-5d4b-4b09-96e4-9b2386507fb4,Male,28,26-35,Lenovo Yoga about,Lenovo,1707.45,251.78,12,2019,1455.67,4.2,Delaware,1,www.newegg.com
7,6fdb5c83-5f60-4924-a0a8-d3c28f67a826,9cb74776-f904-4fa4-a19d-82d5bf6831e9,Male,28,26-35,ASUS ZenBook instead,ASUS,1604.08,257.35,10,2018,1346.73,4.8,Mississippi,1,www.newegg.com
8,a28bf5ba-5828-4c3d-92cd-d53f68f8d824,ef5ecf00-4c36-4b8b-93c7-206401cd9c7e,Male,28,26-35,MacBook Air system,MacBook,1909.14,61.46,4,2022,1847.68,4.7,Colorado,1,www.newegg.com
9,48256b7a-5192-427d-9060-ba00585e8279,1f465dd0-dc27-46f6-b5e7-e3ce0043cbbb,Male,28,26-35,Acer Aspire happen,Acer,2232.97,145.03,8,2021,2087.94,4.5,Mississippi,1,www.newegg.com
10,d74e3676-87fe-4527-a54f-dfd8e1db5271,35effce5-1beb-4642-b2cc-565d65fa5c91,Male,28,26-35,HP Omen final,HP,1210.54,217.54,12,2021,993.0,4.9,Tennessee,1,www.newegg.com
